bookkeepPLUS, Sat Feb 06 01:38:14 +0000 2021, -83.804475, 27.698682, Court cases lostFolks suedShows canceledTell me again how there was evidence of electuon fraud?#loudobbs… https://t.co/c5i0gAAvj3 
SpencerWoods8, Sat Feb 06 01:38:22 +0000 2021, -117.585658, 33.859093, CANCELLED, goodbye Louis 
jimwoodrum, Sat Feb 06 01:38:35 +0000 2021, -121.439383, 38.410428, He needs to seek mental help himself! 
Prashan46444413, Sat Feb 06 01:38:35 +0000 2021, 145.053135, -37.972566, @Forbes Hahaha.. thats the thing.. Biden does the same things as Trump..  but gets away because of Media swamp 
johnnycreeper13, Sat Feb 06 01:38:40 +0000 2021, -118.411907, 34.020789, I agree 💯.  Corporate Dems are the worst.  They love snatching defeat from the jaws of victory. 
adamepsteinprod, Sat Feb 06 01:38:40 +0000 2021, -118.325145, 34.182160, It’s a bird, it’s a plane, it’s Super Joe! 
patyvillaescusa, Sat Feb 06 01:38:50 +0000 2021, -111.858398, 33.639340, Smart move! We all know Trump’s an intelligence risk. 
GaryWFoster1, Sat Feb 06 01:39:10 +0000 2021, -86.680738, 32.576227, No train available? 
malsimons, Sat Feb 06 01:39:18 +0000 2021, -0.263140, 51.565196, Didn’t Trump travel to play Golf, like almost every day over the last few months? 
Effing_Frank, Sat Feb 06 01:39:19 +0000 2021, -71.204591, 42.505534, We wouldn't want the American people to, ya know, actually understand what our government is doing, right Joe?POL… https://t.co/yun1oQOYUN 
str8thinker, Sat Feb 06 01:40:27 +0000 2021, -79.861034, 35.170499, This just occurred to you? 
ceejgates, Sat Feb 06 01:40:38 +0000 2021, -78.853563, 42.896230, What a scandal 
Grambling08, Sat Feb 06 01:40:40 +0000 2021, -84.433106, 33.767195, 👏🏾👏🏾👏🏾 
Jbmlv702Joe, Sat Feb 06 01:40:56 +0000 2021, -115.133373, 36.249124, Just so happens those brown people fleeing to the land of opportunity for better lives haven't attacked the very co… https://t.co/VAyj45Ieyn 
LexaTrex, Sat Feb 06 01:40:58 +0000 2021, -93.262046, 44.970610, We’ve got a deeply good man as @POTUS 
MarkFox29206434, Sat Feb 06 01:41:04 +0000 2021, -97.463645, 35.327468, Join me in urging President Biden to take swift action to restore marine life and make protecting the ocean a centr… https://t.co/DiRZBHnqBx 
ann_donnelly, Sat Feb 06 01:41:09 +0000 2021, -73.654142, 43.272919, AND #PuppyBowl was filmed in Glens Falls, NY instead of NYC as could be done more safely during the pandemic! A nic… https://t.co/r82ctkQl7Y 
